staffID,firstName,lastName,username,password,email,departmentCode
1,Emma,Schrodinger,emma.schrodinger1,"tP9(""YXb",rpickrell0@cocolog-nifty.com,DMS
2,Sophia,Zwicky,sophia.zwicky2,bS6?)@0reTZSG+o,bandrei1@salon.com,DCHEM
3,Harper,Hooke,harper.hooke3,"tN7!$@(0.""",lwinspire2@howstuffworks.com,DPHYS
4,Mia,Joule,mia.joule4,iM5*FXA{vkL20NKG,ahassett3@jugem.jp,DLS
5,Daniel,Watt,daniel.watt5,jJ9>!fP2}7s$J,oandrew4@1und1.de,DCIT
6,William,Keppler,william.keppler6,gD1*QS$f|g~mQ,fgage5@php.net,DPOL
7,Michael,Galileo,michael.galileo7,"gI0""rht&v_Ga'/",mleavesley6@yandex.ru,DBS
8,Isabella,Hooke,isabella.hooke8,dB5*{xvI+,gklasing7@fotki.com,DLAW
9,Joseph,Schradinger,joseph.schradinger9,uV2!jHBAiK,tgoalby8@51.la,DECON
10,Charlotte,Watt,charlotte.watt10,cN8_f!ekJ{=&z3B<,rgwin9@cbsnews.com,DMGMT
11,Matthew,Volta,matthew.volta11,xG0~uw6YGJ5,amarnanea@springer.com,CLL
12,Joseph,Maxwell,joseph.maxwell12,rS3`Vw4t.r,bmathesb@fastcompany.com,DFILM
13,Isabella,Von Neumann,isabella.von neumann13,zK2|YaPxg3*i@.R,dbuckec@whitehouse.gov,DCFA
14,Michael,Einstein,michael.einstein14,nG6~Cb0}9,ldudingd@blogspot.com,DEDU
15,Charlotte,Laplace,charlotte.laplace15,wR0{EeZt@,aholliare@hhs.gov,DFOOD
16,Emma,Young,emma.young16,hH3#cl_zR{wkbE,rwarlockf@github.com,DGEO
17,Michael,Kelvin,michael.kelvin17,xA7$/7ULO,holiddyg@creativecommons.org,DAEE
18,Sophia,Hawking,sophia.hawking18,bU1<=BJby,ekingcotth@comcast.net,DFILM
19,Robert,Hubble,robert.hubble19,vW4=p>qkW,jmabonei@amazon.co.uk,DLIT
20,Evelyn,Boltzmann,evelyn.boltzmann20,gX9`R!SId,kfeldmanj@wikia.com,DHIST
21,Mia,Ramanujan,mia.ramanujan21,rU2(kGb`1`gK,cdeakink@princeton.edu,DCEE
22,Olivia,Feynman,olivia.feynman22,dZ4(cf`p.#,sboodelll@alibaba.com,DCE
23,Joseph,Tesla,joseph.tesla23,tJ9$7~C!3}\t,jpolettom@tinyurl.com,DMME
24,James,Pasteur,james.pasteur24,dI1+ASB3|.=V!Dt*,dkrojnn@google.pl,DMS
25,James,Zwicky,james.zwicky25,oA3|+#5xm,ghendrikseo@imgur.com,DCHEM
26,Evelyn,Thomson,evelyn.thomson26,wL2@=dhSc*Y1?,cdrancep@nytimes.com,DPHYS
27,Evelyn,Ohm,evelyn.ohm27,vD0(FJ_&1UFq4,dkohnenq@lycos.com,DLS
28,Charlotte,Joule,charlotte.joule28,"yU8\Xlr>W""=gkt",acliburnr@moonfruit.com,DCIT
29,James,Heisenberg,james.heisenberg29,oG4&1ep<0!2+Iw),dtwittys@uol.com.br,DPOL
30,William,Boltzmann,william.boltzmann30,"iQ3)""ylq}ITo*!",vratazzit@blinklist.com,DBS
31,John,Turing,john.turing31,wG5>ycGD12\h,egarnhamu@jalbum.net,DLAW
32,Daniel,Fleming,daniel.fleming32,iU3?q0y!<Jm{6,ofairningtonv@princeton.edu,DECON
33,Joseph,Joule,joseph.joule33,"vV8|\Q""!dBm>$",bportrissw@usda.gov,DMGMT
34,John,Joule,john.joule34,nE1_\_2~oz&k,fmcaveyx@cdc.gov,CLL
35,David,Xu Guangqi,david.xu guangqi35,eH1+_c.MMw,vbreckiny@craigslist.org,DFILM
36,Ava,Einstein,ava.einstein36,tQ5=4\lh{G3/zDlx,rblowfeldez@cisco.com,DCFA
37,Olivia,Babbage,olivia.babbage37,zD5|&oW/<6nYjA,mabernethy10@free.fr,DEDU
38,Robert,Euler,robert.euler38,"lS8+TO%)E}E0,",kdabbotdoyle11@businesswire.com,DFOOD
39,Harper,Ohm,harper.ohm39,mM1|gi>@PzOK0,tculross12@cdc.gov,DGEO
40,Michael,Maxwell,michael.maxwell40,yB3_USfpD,pokeeffe13@redcross.org,DAEE
41,James,Euler,james.euler41,fQ6}9!Z>b,clanfranconi14@acquirethisname.com,DFILM
42,Amelia,Hawkins,amelia.hawkins42,nF6%=+W6Rch{L##,hreeder15@imdb.com,DLIT
43,Emma,Young,emma.young43,"rL6,9bOpY>7",bmccourt16@furl.net,DHIST
44,Olivia,Zwicky,olivia.zwicky44,hG2?0QTMXkP,mchestney17@youtube.com,DCEE
45,Mia,Fermi,mia.fermi45,mD8>z1*bh,hseebert18@networkadvertising.org,DCE
46,Mia,Kelvin,mia.kelvin46,eK5+Dlx5y/i,ksmartman19@yahoo.com,DMME
47,Michael,Ohm,michael.ohm47,xZ0<A~E_g9/$B9U,dosharkey1a@mapy.cz,DMS
48,Joseph,Planck,joseph.planck48,hK8('#YnJ,mourtic1b@quantcast.com,DCHEM
49,Ava,Keppler,ava.keppler49,fY3=X2>)T,hwraggs1c@cam.ac.uk,DPHYS
50,Evelyn,Heisenberg,evelyn.heisenberg50,cP5&!QpcF.d*cBd.,dewence1d@ebay.co.uk,DLS
51,Joseph,Kelvin,joseph.kelvin51,sE9\RXPWm3B4Fk,kstrangeway1e@state.gov,DCIT
52,David,Copernicus,david.copernicus52,gJ5<1?G@,dwolfenden1f@prlog.org,DPOL
53,William,Copernicus,william.copernicus53,"sW6.O?x,<`g/",jdjokovic1g@symantec.com,DBS
54,Olivia,Maxwell,olivia.maxwell54,"lV5*zR2$s,5",trosenzwig1h@jimdo.com,DLAW
55,Olivia,Curie,olivia.curie55,xI2}I>qmFN,mkees1i@myspace.com,DECON
