studentID,firstName,lastName,username,password,email,program1,program2
816030870,Marina,Wyett,marina.wyett,kQ1|?d)),mwyett0@nationalgeographic.com,Marketing Major,
816032152,Nicolle,Leupoldt,nicolle.leupoldt,"dP5&2Np'F2N},Q",nleupoldt1@tinyurl.com,Chemistry,Electronics Minor
816032527,Veronica,Syde,veronica.syde,oZ3!8}E4.s7,vsyde2@bbc.co.uk,Business Administration,Biochemistry Minor
816036511,Craggy,Gamil,craggy.gamil,hR9/$ILeT',cgamil3@cisco.com,Actuarial Science,Political Science Minor
816030130,Harold,Farndale,harold.farndale,"aX2.|@>tJl8""HAE'",hfarndale4@adobe.com,Agriculture,
816034522,Stanleigh,Drever,stanleigh.drever,tD1=987U,sdrever5@biblegateway.com,Geography Major,Electronics Minor
816036025,Buddie,Seacombe,buddie.seacombe,bK7.xYe)4W),bseacombe6@dion.ne.jp,Education Primary General,
816035412,Ermin,Dussy,ermin.dussy,"aZ5=%1bOrN(oC,",edussy7@pinterest.com,Mechanical Engineering,Chemistry Minor
816038171,Linet,Balas,linet.balas,lT6(NBuE,lbalas8@linkedin.com,Physics,
816034245,Sallee,Semarke,sallee.semarke,"eJ4|<mZ/r2,",ssemarke9@chronoengine.com,Environmental Science,Biochemistry Minor
816030727,Gabi,Cavy,gabi.cavy,jM3'iOQJ'Z/,gcavya@ycombinator.com,Chemistry,
816038820,Petronilla,Hullock,petronilla.hullock,"wK2#x1O_/""I",phullockb@businessweek.com,History,
816037860,Agustin,Oaten,agustin.oaten,wE2+?3*WE{T'$,aoatenc@ox.ac.uk,History,Chemistry Minor
816037210,Tiebout,Warmisham,tiebout.warmisham,mG2~k3e\/WuB%,twarmishamd@umn.edu,Electrical Engineering,
816039910,Neille,Reddin,neille.reddin,"nJ4,""EPhWIzD'dJF",nreddine@exblog.jp,Agriculture,Mathematics Minor
816030717,Karlen,Bruster,karlen.bruster,gM1''OPz_*,kbrusterf@homestead.com,Computer Science Special,Biochemistry Minor
816031133,Friedrich,Arkin,friedrich.arkin,"eT7#h""1lrL",farking@berkeley.edu,Geography Major,
816036242,Florida,Humm,florida.humm,xC0=?O@cBOa,fhummh@de.vu,Psychology Major,
816034751,Maxie,Greeson,maxie.greeson,"yP6""e2OJd/h*RqV",mgreesoni@drupal.org,Art History,Political Science Minor
816030097,Ursula,Puddan,ursula.puddan,gF7.4e5ca*Ob4,upuddanj@forbes.com,Agriculture,
816036355,Beatrix,Lumber,beatrix.lumber,iH5_Dc?_}UKHM<,blumberk@cdbaby.com,Agriculture,
816035854,Cecelia,Osgardby,cecelia.osgardby,jK6\$SxPm0H7},cosgardbyl@fastcompany.com,Biomedical Technology Special,Electronics Minor
816039942,Manuel,Laffan,manuel.laffan,"sQ7.S=GHJ2""",mlaffanm@census.gov,Nursing,
816032957,Jill,Iwanowicz,jill.iwanowicz,"aC3,>AvZsY3?ASeI",jiwanowiczn@usnews.com,Marketing Major,
816033406,Vasilis,Andrzejak,vasilis.andrzejak,uI3\_EGJ4c,vandrzejako@microsoft.com,History,
816037616,Pavia,Franzonello,pavia.franzonello,wJ8?Dd%Yc`gm#~L,pfranzonellop@geocities.jp,Physics,Chemistry Minor
816033847,Shir,Skewis,shir.skewis,zQ9<#R|79>P$,sskewisq@csmonitor.com,Nursing,
816037400,Robby,Jeskins,robby.jeskins,eQ1~n5R|CiBNm~,rjeskinsr@nasa.gov,Geography Major,
816031135,Kylie,Pattisson,kylie.pattisson,nM2@y=JP#,kpattissons@msu.edu,Nursing,Electronics Minor
816038127,Valerie,Kellick,valerie.kellick,vN1+#y}j,vkellickt@list-manage.com,Electrical Engineering,Mathematics Minor
816038498,Myrilla,Partridge,myrilla.partridge,xO1=/)4hS,mpartridgeu@mozilla.com,History,Biochemistry Minor
816039707,Weylin,Allard,weylin.allard,aN1=VM\gaNQ$C4>u,wallardv@opensource.org,Business Administration,
816035348,Cati,Wyllis,cati.wyllis,uD1&/O#X!<cH!cBu,cwyllisw@myspace.com,Marketing Major,
816039482,Averyl,Lovett,averyl.lovett,qW4~j(/CCuyPxG,alovettx@newsvine.com,Computer Science Special,
816030098,Benton,Barbery,benton.barbery,zE1#rl>3@8\m!N,bbarberyy@163.com,Economics,Electronics Minor
816030619,Merill,Skillicorn,merill.skillicorn,qI0{K}V+2,mskillicornz@prnewswire.com,Psychology Major,Chemistry Minor
816033563,Nessie,Myner,nessie.myner,fI4?{vrn,nmyner10@google.com.au,Mechanical Engineering,
816033721,Court,Obin,court.obin,lW5?|pDE}01W&e',cobin11@bloomberg.com,Political Science,
816038148,Frederica,Acres,frederica.acres,yD4+resi!,facres12@tumblr.com,Psychology Major,
816037549,Jonie,Scatcher,jonie.scatcher,bZ7{>=>@,jscatcher13@intel.com,Sociology,
816034108,Iseabal,Beadman,iseabal.beadman,"hX9#/""k9%7bUD",ibeadman14@arizona.edu,Business Administration,Chemistry Minor
816033136,Irv,Biffin,irv.biffin,vR9@*e@h,ibiffin15@soundcloud.com,Agriculture,
816039241,Leigh,McKibben,leigh.mckibben,gN5%w<PJkf4b=>{,lmckibben16@cnbc.com,History,Chemistry Minor
816037355,Selestina,Lander,selestina.lander,mI9=$\FAO4e,slander17@mapy.cz,Biomedical Technology Special,Mathematics Minor
816030681,Agatha,Widger,agatha.widger,"nM6',h2Hq=B",awidger18@simplemachines.org,Psychology Major,
816039043,Nadiya,Kearley,nadiya.kearley,sY6`\|>o5>S},nkearley19@pen.io,Psychology Major,Biochemistry Minor
816030671,Analiese,Stubbington,analiese.stubbington,"jJ6""+|UAP|",astubbington1a@storify.com,Psychology Major,
816033496,Enid,Starten,enid.starten,dN0)GWqoe,estarten1b@purevolume.com,Computer Science Special,Electronics Minor
816038188,Kordula,Tettersell,kordula.tettersell,wJ5%tv%R6=1q_,ktettersell1c@theatlantic.com,Veterinary Medicine,
816032143,Jeffrey,Lawlance,jeffrey.lawlance,cG4+I$=p,jlawlance1d@newsvine.com,Biomedical Technology Special,Chemistry Minor
816038043,Lon,Meadowcroft,lon.meadowcroft,jO8.LMj*t,lmeadowcroft1e@virginia.edu,Biomedical Technology Special,Electronics Minor
816036322,Andras,Easun,andras.easun,eD1*Z=9PWd5OJEeI,aeasun1f@nytimes.com,Actuarial Science,
816034272,Randi,Wigzell,randi.wigzell,hM1*FWwh9OG~0,rwigzell1g@pen.io,Actuarial Science,Mathematics Minor
816033163,Morgan,Novotni,morgan.novotni,"bQ7)%d""i+`*|",mnovotni1h@mozilla.com,Agriculture,
816037829,Frank,Sowten,frank.sowten,"aQ9++L6GW&S4h/""",fsowten1i@sina.com.cn,Business Administration,Electronics Minor
816037458,Rosaleen,Leadbeatter,rosaleen.leadbeatter,uP5=~RG/40b8wd'c,rleadbeatter1j@tinypic.com,Political Science,Political Science Minor
816036349,Gwynne,Chiswell,gwynne.chiswell,mG0*QR_N|,gchiswell1k@ebay.co.uk,Education Primary General,Electronics Minor
816033970,Kelby,Cammack,kelby.cammack,iK9(q&O2|cb,kcammack1l@ed.gov,Actuarial Science,Electronics Minor
816038080,Lucius,Barchrameev,lucius.barchrameev,bH2!xy#*(L4{,lbarchrameev1m@nymag.com,Physics,
816034455,Jeanne,Jado,jeanne.jado,dZ0`.N~I,jjado1n@chron.com,Veterinary Medicine,
816038060,Coraline,Scrowston,coraline.scrowston,vR0&@WWuz+3,cscrowston1o@army.mil,Physics,
